Used Theory,Total Unique Positives,Total Unique Negatives,Default Accuracy,# Clauses,Mean # Literals,T+,T-,Similarity of T+,Similarity of T-,Similarity of T_MF,Similarity of T_Comp,Similarity of T_MDL,Similarity - Common,Overlap Size,MF Theory,Comp Theory,MDL Theory,Compression of T+,Compression of T-,DL of T+,DL of T-,# Sampled Positives,# Sampled Negatives,# Unique Sampled Positives,# Unique Sampled Negatives
"[[4], [4]]",8,8,0.5,2,1,[[4]],"[[-1], [1]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972758187937556,0.9341229732524561,11.037134732729697,266.90354457244985,227,173,42,25
"[[-4, 3, -1], [-2, 1, -4], [-2, -1, -4]]",11,5,0.6875,3,3,"[[-4, -2], [3, -4, -1]]","[[4], [-4]]",1.0,0.6875,0.6875,1.0,1.0,1.0,0.6875,T-,T+,T+,0.9940252231414087,0.9660378166239316,24.207059734172006,137.59921435480032,290,110,56,11
"[[3, -2, 4], [-3], [-3, 1, -4]]",6,10,0.625,3,2.3333333333333335,"[[4, -2], [-3]]","[[-1], [1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.923580740710389,19.62209723345085,309.6158431096584,176,224,38,29
"[[1, -4, 2], [-2, -3], [-2]]",6,10,0.625,3,2,"[[1, -4], [-2]]","[[4], [-4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9193024568681635,19.62209723345085,326.94949003566467,157,243,36,31
"[[4, -2, 1], [-1, 4, 3], [-2, 1, 4]]",12,4,0.75,3,3,"[[3, 4, -1], [1, 4, -2]]","[[4], [-4]]",1.0,0.75,0.75,1.0,1.0,1.0,0.75,T-,T+,T+,0.9935315839366311,0.9755549564688648,26.207059734172006,99.04012199413755,322,78,60,7
"[[1, -2], [3, 1, 4], [-3, -4, -2]]",10,6,0.625,3,2.6666666666666665,"[[1, -2], [-4, -3, -2], [1, 3, 4]]","[[4], [-4]]",1.0,0.625,0.625,1.0,1.0,1.0,0.625,T-,T+,T+,0.9913510873304469,0.9609572002196722,35.04143344306821,158.18354540098366,266,134,54,13
"[[-4, 3, -2], [-4]]",8,8,0.5,2,2,[[-4]],"[[1, 3], [2, -3], [-1], [-2]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9972758187937556,0.9293914599857763,11.037134732729697,286.07346957389217,211,189,42,25
"[[2], [3, -4]]",6,10,0.625,2,1.5,"[[3, -4], [2]]","[[-1], [1]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9211943768292882,19.62209723345085,319.28429674139693,197,203,37,30
"[[3], [-3, 2, 4]]",6,10,0.625,2,2,"[[2, 4], [3]]","[[-4], [4]]",1.0,0.375,0.375,1.0,1.0,1.0,0.375,T-,T+,T+,0.9951568817628045,0.9193024568681635,19.62209723345085,326.94949003566467,180,220,36,31
"[[3], [-1, 2, 3]]",8,8,0.5,2,2,[[3]],"[[2], [-2]]",1.0,0.5,0.5,1.0,1.0,1.0,0.5,T-,T+,T+,0.9965441440486591,0.9696634793833465,9.456470942347055,83.01168501886839,244,156,17,9
